id,fund,name,sectors,website,description,stage,stage_year,founded_year,invested_year,pmo_score,pmo_traj,pmo_mat,pmo_collab,pmo_game,pmo_feedback,pmo_notes,assigned_agent,agent_sredstvo,agent_status,relevance,rationale
1297,learn-capital,Manga High,education;gaming,https://www.mangahigh.com,"Manga High is a pioneer in the development of adaptive and embedded-assessment online learning games for math and physics in the middle grades. Free for schools and students, Manga High features high quality games that emphasize rapid-fire learning of different math techniques.",Acquired,,,,5.8,3,7,2,9,8,"Адаптивная игровая платформа для математики с сильной геймификацией и персональной обратной связью, но без возможности учащегося строить собственную траекторию и без совместной деятельности.",Игровой учебный контент,Учебные материалы,Протестировать,7,"Стартап предоставляет обучающие игры по математике и физике, что соответствует агенту игрового учебного контента, который генерирует игровые учебные модули для вовлечения учеников."
1298,learn-capital,MasteryConnect,,https://masteryconnect.com/,"MasteryConnect provides K–12 educators with real-time insights into student understanding through standards-based assessments. The platform supports data-driven instruction by making it easy to identify learning gaps, personalize teaching, and improve outcomes across classrooms, schools, and districts.",Acquired,,,,3.4,4,2,1,3,7,"Платформа эффективно даёт обратную связь по стандартам, но почти не поддерживает персонализацию учебной траектории, адаптацию материалов или совместную деятельность учащихся.",ИИ-выгрузки и отчеты,Обратная связь,Протестировать,9,"MasteryConnect предоставляет учителям отчёты и аналитику об успеваемости учащихся по стандартам, что соответствует функции ИИ-агента выгрузок и отчётов."
1299,learn-capital,Mentor Collective,education,https://www.mentorcollective.org/,"Mentor Collective partners with colleges and universities to match students with trained peer, alumni, or professional mentors. Using a research-backed approach and data insights, the platform supports belonging, persistence, and career readiness at scale across the student journey.",,,,,2.8,2,1,7,1,3,"Платформа Mentor Collective является образовательной, сфокусированной на менторстве: сильная поддержка совместной деятельности, но отсутствуют персонализированная траектория обучения и адаптивный контент.",unmatched,,,0,"Стартап представляет собой платформу для подбора менторов, что не соответствует функционалу ни одного из ИИ-агентов каталога."
1301,learn-capital,Minerva,education,https://www.minervaproject.com/,"Minerva Project partners with universities and governments to deliver active learning programs powered by its proprietary Forum platform. With a curriculum focused on critical thinking, global immersion, and real-world application, Minerva is helping institutions modernize higher education for a more connected and adaptable world.",,,,,6.0,5,6,9,2,8,"Minerva активно использует совместное обучение и немедленную обратную связь, но персонализация учебной траектории и адаптивность материалов выражены слабее, а геймификация практически отсутствует.",Пространство для работы в группе,Совместная деятельность и общение,В разработке,8,"Платформа Forum Minerva предоставляет виртуальное пространство для активного группового обучения, что соответствует агенту 39 — пространство для работы в группе."
1302,learn-capital,MobLab,education;gaming,https://www.moblab.com/,"MobLab brings classrooms to life with engaging, mobile-first games that simulate economic principles, behavioral science, and strategic decision-making. Used in high schools and universities worldwide, the platform helps instructors deliver active learning experiences that deepen understanding through real-time participation and data analysis.",,,,,5.0,2,2,5,10,6,"MobLab активно использует геймификацию для обучения экономическим принципам, но персонализация траектории и адаптивность материалов практически отсутствуют.",Игровой учебный контент,Учебные материалы,Протестировать,8,"MobLab предоставляет готовые мобильные учебные игры-симуляции, а агент 'Игровой учебный контент' создаёт игровые модули для освоения материала — оба превращают обучение в игру."
1303,learn-capital,Mystery Science,education,https://mysteryscience.com/,Mystery Science provides open-and-go lessons that inspire kids to love science. The company's online resource makes it easy for elementary school teachers to deliver an incredible science lesson without a science background. Hands-on activities expose students to the joy of scientific inquiry at an early age.,Acquired,,,,1.2,1,2,1,1,1,"Продукт предлагает фиксированные готовые уроки для учителей без персонализации учебного пути, адаптации материалов, социального взаимодействия, игровых механик или автоматизированной обратной связи.",Библиотека контента,Учебные материалы,В разработке,9,"Mystery Science предоставляет готовые уроки, что соответствует агенту «Библиотека контента», который предоставляет структурированную библиотеку готовых учебных материалов."
1304,learn-capital,Nerdy,education,https://www.nerdy.com/,"Nerdy connects learners with expert instructors through its flagship platform, Varsity Tutors. Offering 1-on-1 tutoring, group classes, and adaptive self-study tools, Nerdy supports academic achievement, test prep, and professional development with a focus on personalization, convenience, and results.",Public,,,,7.2,9,8,7,3,9,"Nerdy получает высокие оценки за персонализированную траекторию и обратную связь через репетиторов, но практически не использует геймификацию в обучении.",unmatched,,,0,"Nerdy — это маркетплейс для подбора репетиторов, а не ИИ-инструмент из каталога агентов ПМО."
1305,learn-capital,NewGlobe,education,https://newglobe.education/,"NewGlobe partners with governments to support learning gains at scale by providing schools with proven pedagogy, real-time data tools, and teacher coaching. Focused on foundational literacy and numeracy, NewGlobe helps improve outcomes in emerging markets through structured, high-impact instructional models.",,,,,2.0,2,2,2,2,2,"NewGlobe предлагает строго структурированные учебные модели и инструменты для учителей, а не персонализированные образовательные траектории — фиксированная программа, однотипный контент, отсутствие коллаборации, геймификации и прямой обратной связи для учащихся.",unmatched,,,0,"Стартап NewGlobe представляет системное решение для масштабирования обучения, включающее педагогические методики, инструменты данных и коучинг учителей, что не соответствует ни одному узкоспециализированному ИИ-агенту из каталога."
1307,learn-capital,NoRedInk,education,https://www.noredink.com/,"NoRedInk helps students become stronger writers through personalized, standards-aligned exercises that adapt to their interests and skill levels. The platform guides learners through grammar, usage, and essay writing, while giving teachers real-time data to inform instruction and track growth over time.",,,,,4.6,5,8,1,3,6,"Платформа обеспечивает адаптацию материалов под интересы и уровень, но траектория задаётся системой, а не учеником, и отсутствуют элементы совместного обучения.",ИИ-генератор мотивирующих заданий,Учебные материалы,Протестировать,8,"NoRedInk адаптирует упражнения по письму и грамматике под интересы и уровень учеников, что совпадает с генератором мотивирующих заданий, создающим контент с учётом персональных интересов."
1308,learn-capital,NovoEd,education,https://novoed.com/,"NovoEd powers cohort-based courses that emphasize teamwork, practice, and feedback, helping organizations deliver high-impact learning at scale. From leadership development to onboarding, NovoEd enables companies and universities to create engaging, social learning experiences that drive real-world outcomes.",Acquired,,,,4.2,2,3,9,1,6,"NovoEd — это образовательная платформа для группового обучения с сильным акцентом на социальное взаимодействие и обратную связь, но без явной персонализации учебной траектории.",Пространство для работы в группе,Совместная деятельность и общение,В разработке,8,"Платформа NovoEd для группового обучения на основе когорт наиболее близка к агенту «Пространство для работы в группе», предоставляющему виртуальную среду для совместной работы и отслеживания активности."
1310,learn-capital,On Deck,education;community,https://www.beondeck.com/,"On Deck connects aspiring and active entrepreneurs through structured fellowships, mentorship, and peer support. With curated programming, access to capital, and a global founder network, ODF helps individuals go from idea to startup with greater speed, clarity, and community.",,,,,0.0,0,0,0,0,0,"Продукт не является образовательным, это предпринимательское сообщество и акселератор, поэтому модель PMO неприменима.",unmatched,,,0,"Стартап On Deck — это сообщество и феллоушип для предпринимателей, не имеющий отношения к ИИ-агентам для персонализированных образовательных траекторий."
1312,learn-capital,Pathrise,education,https://www.pathrise.com/,"Pathrise helps job seekers land roles in tech, business, and design through personalized coaching, interview prep, and job search strategy. With an income share model and outcomes-focused approach, Pathrise supports candidates from application to offer while aligning incentives around success.",Acquired,,,,5.8,7,5,7,2,8,"Pathrise предлагает персонализированное наставничество с высокой адаптацией обратной связи, но отсутствует геймификация и глубокая адаптация учебных материалов.",unmatched,,,6,Агент профориентолога наиболее близок к задачам стартапа по карьерному коучингу и увязке обучения с профессиональными перспективами.
1313,learn-capital,Photomath,education,https://www.photomath.net,"Photomath offers an award-winning AI-powered mobile app that makes math easy to understand and master. Its product features include instant solutions to scanned problems, step-by-step explanations, and engaging animated instruction for a wide range of math problems.",Acquired,,,,1.6,1,2,0,1,4,"Photomath не предоставляет персонализированную траекторию обучения, адаптивные материалы или социальные функции, фокусируясь на автоматических пошаговых решениях математических задач.",ИИ-помощник,Персонализированная траектория,Протестировать,9,"Photomath функционирует как ИИ-ассистент, который сканирует задачи и предоставляет пошаговые объяснения с подсказками, что напрямую соответствует агенту «ИИ-помощник», отвечающему на вопросы учеников с учётом уровня и контекста."
1315,learn-capital,Prenda,education;community,https://www.prenda.com/,"Prenda partners with parents and educators to launch small, local learning environments where students progress at their own pace. Combining online curriculum, project-based learning, and personal mentorship, Prenda offers a flexible, student-centered model that reimagines the traditional classroom.",,,,,4.0,8,6,3,1,2,"Prenda предлагает персонализированную траекторию и адаптацию темпа, но отсутствуют элементы геймификации и обратная связь через продукт; социальное взаимодействие в основном реализуется офлайн.",ИИ-агент генерации траектории,Персонализированная траектория,Протестировать,7,"Стартап Prenda реализует модель персонализированного обучения с индивидуальным темпом, что ближе всего к ИИ-агенту генерации траектории (агент 4), который создаёт адаптивный пошаговый план."
1317,learn-capital,Scoutible,education;gaming,https://www.scoutible.com/,"Scoutible is the world’s first game-based AI for hiring top talent, using psychometric profiling developed by expert psychologists to predict future performance of candidates. Its platform allows employers to find ideal employees for every position based on their essential qualities and provides job candidates an opportunity to showcase their talent via a quick-and-easy mobile game.",,,,,0.0,0,0,0,0,0,"Продукт не является образовательным, это игровая платформа для найма и оценки талантов, не подпадающая под модель PMO.",unmatched,,,0,"Стартап является игровым AI-инструментом для найма и психометрического профилирования кандидатов, не относящимся к образовательным технологиям, поэтому не соответствует ни одному из 44 агентов каталога ПМО."
1318,learn-capital,Section,education;community,https://www.section4.com/,"Section helps organizations and professionals adopt AI effectively by combining strategic planning, tailored training, and workflow redesign. With tools like ProfAI — an on-demand AI coach— and enterprise-grade programs, Section enables teams to develop habits and capabilities needed to drive real ROI from AI.",,,,,5.8,6,8,5,1,9,"Продукт предлагает корпоративное AI-обучение с адаптивными материалами и моментальной обратной связью через ИИ-коуча, но не вовлекает геймификацию и слабо развивает совместное обучение.",ИИ-помощник,Персонализированная траектория,Протестировать,7,"ProfAI как ИИ-коуч по запросу выполняет функцию ИИ-помощника, отвечающего на вопросы учеников по содержанию курса."
1319,learn-capital,Sharpen,education;health,https://sharpen.com/,"Sharpen helps young children learn to read through a structured, dual-device program guided by parents. With phonics-based lessons and built-in progress tracking, the platform builds core literacy skills in just minutes a day.",,,,,3.2,2,5,3,1,5,"Sharpen предлагает структурированную программу обучения чтению с отслеживанием прогресса, но без значительной персонализации траектории или геймификации.",unmatched,,,0,"Стартап является целостной обучающей программой по чтению, а не отдельным ИИ-инструментом из каталога агентов для поддержки персонализированной модели образования."
1320,learn-capital,Singularity University,education;community,https://su.org/,"Singularity University equips leaders with the knowledge and mindset to navigate rapid technological change. Through immersive learning, expert networks, and global summits, the platform helps individuals and organizations apply emerging tech to solve complex global challenges.",,,,,4.6,5,5,7,2,4,"Платформа фокусируется на сетевом взаимодействии и экспертном обучении, но не предлагает глубокой персонализации траектории или адаптивных материалов.",Пространство для работы в группе,Совместная деятельность и общение,В разработке,7,"Платформа Singularity University объединяет лидеров для совместного обучения и решения глобальных задач, что ближе всего к виртуальному пространству для групповой работы."
1321,learn-capital,Smashcut,education,https://www.smashcut.com/,"Smashcut delivers live, project-based courses with built-in video conferencing, feedback tools, and peer collaboration. Used by top institutions, the platform brings professional-grade media instruction to online classrooms.",,,,,3.0,2,1,7,0,5,"Smashcut предлагает живые проектные курсы с инструментами для видеоконференций, обратной связи и совместной работы, но отсутствуют персонализация траектории и адаптивные материалы, а геймификация не используется.",Видео сервис,Совместная деятельность и общение,Протестировать,7,"Платформа Smashcut делает акцент на встроенные видеоконференции для живых проектных курсов, что напрямую соответствует агенту видео-сервиса с комнатами для групповой работы."
1322,learn-capital,SoloLearn,education,https://www.sololearn.com/,"SoloLearn is the world’s largest community of mobile code learners, offering a freemium subscription product that allows users to learn different programming languages anytime, anywhere, and on any device. It features lessons, quizzes, discussion forums, and a global leaderboard that gamifies the learning experience.",,,,,3.8,3,1,5,6,4,"SoloLearn предлагает мобильное обучение программированию с геймификацией и форумами, но персонализация пути и материалов минимальна.",unmatched,,,0,"Стартап является целостной мобильной платформой для обучения программированию с элементами геймификации и сообществом, не совпадая по сути с отдельными ИИ-агентами каталога."
1324,learn-capital,Study Sync,education,https://www.studysync.com/,"StudySync offers a standards-aligned English Language Arts platform for grades 6–12 that blends classic texts with modern media. With video previews, reading supports, and writing scaffolds, StudySync engages diverse learners while giving teachers powerful tools to personalize instruction.",Acquired,,,,2.6,2,6,1,1,3,"Платформа ориентирована на учителей, предоставляя им инструменты персонализации, но у учащихся почти нет возможности самостоятельно выстраивать учебную траекторию; содержание разнообразно, но социальные и игровые механики отсутствуют.",Библиотека контента,Учебные материалы,В разработке,9,"Стартап предоставляет готовую библиотеку учебных материалов по английскому языку и литературе с классическими текстами и медиа, что соответствует агенту «Библиотека контента»."
1325,learn-capital,StudyEdge,education,https://www.studyedge.com/,"Study Edge provides video-based tutoring, study guides, and adaptive practice tools to help students succeed in challenging courses. With platforms like College Success and Algebra Nation, Study Edge supports learning in core subjects through engaging, standards-aligned content.",Acquired,,,,3.6,4,6,2,1,5,"Продукт предлагает адаптивные практические инструменты, но в остальном основан на видео-лекциях и фиксированном контенте, без совместной деятельности и геймификации обучения.",Библиотека контента,Учебные материалы,В разработке,7,"Стартап предоставляет библиотеку видеоуроков и учебных материалов, что соответствует функционалу структурированной библиотеки контента с поиском и фильтрацией."
1327,learn-capital,Teachable,education,https://teachable.com/,"Teachable provides a platform that allows teachers to create and sell online courses on everything from programming, marketing and design to cake decorating, jazz guitar and watercolor painting. The solution features tools to build a course website and control branding, student data, and pricing all from a single dashboard.",Acquired,,,,2.6,2,2,3,3,3,"Платформа для создания курсов, ориентированная на преподавателей, без глубокой персонализации или адаптивности для учащихся.",unmatched,,,0,"Teachable — платформа для создания и продажи онлайн-курсов, не являющаяся ИИ-агентом из каталога, ориентированного на персонализированную модель образования."
1328,learn-capital,Teachmint,education,https://www.teachmint.com/,"Teachmint provides schools with an integrated platform for learning management, communication, content delivery, and administrative tools. Built to serve K–12 institutions in emerging markets, Teachmint helps educators digitize operations, improve classroom engagement, and scale access to quality instruction.",,,,,2.2,1,2,5,1,2,"Teachmint - это платформа для управления обучением, но она не предоставляет глубокую персонализацию учебного процесса, адаптацию материалов или геймификацию, что приводит к низким баллам по большинству инструментов ПМО.",unmatched,,,0,"Teachmint — это интегрированная платформа для управления школой, а не отдельный ИИ-агент; ни один агент каталога не соответствует её широкой функциональности."
1330,learn-capital,Udemy,education,https://www.udemy.com/,"Udemy is an online learning and teaching content marketplace with on-demand courses from experts in different areas. It offers a consumer product for both learners (Udemy) and teachers (Teach on Udemy), as well as an enterprise product (Udemy for Business).",Public,,,,3.0,6,2,3,1,3,"Udemy — это маркетплейс курсов с широким выбором, но без персонализации обучения и геймификации, что ограничивает его соответствие модели ПМО.",unmatched,,,0,"Udemy — это маркетплейс курсов, а не ИИ-агент персонализированной модели образования, и ни один агент каталога не соответствует его сути как платформы-агрегатора контента."
1331,learn-capital,Uppercase,,https://www.uppercaseteach.com/,"Uppercase Teach connects educators struggling with lesson planning, classroom management, or family engagement to vetted expert teachers or its AI coach, Casey. The platform delivers personalized, real-time guidance, peer community forums, and curated resources, empowering teachers to improve instruction with confidence and ease.",,,,,5.8,5,8,6,1,9,"Платформа эффективно обеспечивает персонализированную обратную связь и поддержку учителям, но не предлагает геймификации и лишь частично позволяет строить собственную траекторию обучения.",unmatched,,,0,"Стартап представляет собой платформу коучинга и поддержки учителей, в то время как все агенты каталога ориентированы на персонализацию учебного процесса для учащихся или инструменты для учителей по созданию контента, оцениванию и визуализации, но не включают функции наставничества и сообщества для педагогов."
1332,learn-capital,Upright Education,education,https://www.uprighted.com/,"Upright partners with higher education institutions to offer job-focused training programs in tech, design, and business. With online instruction, mentorship, and career support, Upright helps adult learners transition into high-demand roles while expanding workforce development capacity for schools.",,,,,3.4,4,2,6,1,4,"Продукт ориентирован на профессиональную переподготовку с фиксированной программой, что ограничивает персонализацию по модели PMO.",ИИ-профориентолог,Персонализированная траектория,В разработке,9,"Стартап фокусируется на профориентации и связывании обучения с карьерными перспективами, что напрямую соответствует функции ИИ-профориентолога."
1335,learn-capital,Wonder Workshop,education,https://www.makewonder.com/,"Wonder Workshop creates programmable robots and curriculum that teach coding, creativity, and problem-solving to students in grades K–8. With classroom-ready tools and cross-platform apps, the company helps schools make computer science engaging and accessible from an early age.",,,,,4.4,3,4,3,6,6,"Образовательный продукт для обучения программированию с роботами, присутствуют элементы геймификации и наглядная обратная связь, но персонализация траектории и совместная деятельность развиты слабо.",unmatched,,,0,"Стартап создаёт физических программируемых роботов и готовые учебные программы, что не соответствует функционалу ни одного ИИ-агента из каталога."
1337,new-schools,10story,Learning Solutions,https://10storylearning.com,"10story designs engaging, hands-on math projects for grades K-8, where students learn and apply mathematical concepts through role-playing adventures. These collaborative problem-solving activities drive the story forward, transforming the classroom into a space for connection, friendship, joy, achievement, and deep learning.",Past,,2019.0,2024.0,3.4,3,2,8,2,2,"Продукт ориентирован на совместное обучение через ролевые игры, однако отсутствуют ключевые элементы ПМО: персонализация траектории, адаптивные материалы, геймификация и обратная связь.",Игровой учебный контент,Учебные материалы,Протестировать,7,"10story создаёт ролевые приключенческие проекты по математике, что близко к генератору игрового учебного контента (агент 20), создающему учебные модули в игровом формате для вовлечения учеников."
1339,new-schools,7 Generation Games,Learning Solutions,https://www.7generationgames.com/,"7 Generation Games is developing 7 Gen Ed Blocks, a no-code platform that enables educators to create interactive, culturally responsive literacy learning experiences in multiple languages. Since its founding, the organization has been focused on building narrative and gaming experiences that close equity gaps and improve outcomes for indigenous students and multilingual learners. Now they are working to adapt existing code libraries (originally used to develop proprietary games) into modularized, easily editable code blocks that educators can customize through a digital platform. This effort represents an attempt to scale their impact by putting more power into the hands of educators and enabling them to bring their content to life in engaging and culturally responsive ways.",,,2013.0,2022.0,1.0,1,1,1,1,1,"Платформа является инструментом для авторов контента, а не продуктом для непосредственного обучения учащихся, поэтому персонализированная модель образования (PMO) практически не применима.",Гибкий конструктор,Учебные материалы,Протестировать,7,"Платформа с модульными блоками для создания интерактивного учебного контента наиболее близка к гибкому конструктору, позволяющему собирать учебные модули из готовых блоков."
1342,new-schools,Acuarela Curriculum Cooperative,Learning Solutions,https://www.acuarelacurriculum.org/,"Acuarela Curriculum Cooperative is creating culturally sustaining, interdisciplinary bilingual curricula that interweaves and aligns to both literacy and rich content standards (science, social studies, arts), beginning in early childhood. We provide wraparound professional learning for teachers and leaders to support implementation of our comprehensive curriculum and build knowledge of the research behind its design, and we license our training as curricula for teacher preparation programs to better prepare novice teachers to deeply understand and provide high quality instruction as a lever for equity.",,,,,1.2,1,2,1,1,1,"Продукт представляет собой готовую учебную программу для педагогов, а не персонализированную цифровую платформу, поэтому низкие оценки по всем инструментам PMO, ориентированным на адаптивное обучение.",unmatched,,,5,"Стартап создаёт и предоставляет готовые междисциплинарные учебные программы, что соответствует концепции структурированной библиотеки готовых учебных материалов с возможностью поиска и использования учителями."
1345,new-schools,AI for Equity,Learning Solutions,https://www.ai-for-equity.org,AI for Equity supports and convenes cohorts of school system leaders to leverage AI in service of a more equitable future for all students.,Past,,2023.0,2024.0,0.0,0,0,0,0,0,"Продукт не является образовательным средством, а представляет собой сервис поддержки и координации руководителей школ, поэтому не соответствует модели PMO.",unmatched,,,0,"Стартап направлен на поддержку руководителей школьных систем для использования ИИ ради равноправия, что не соответствует ни одному ИИ-агенту из каталога, предназначенного для персонализированного обучения и учебных материалов."
1346,new-schools,AI-Learners,Learning Solutions,https://ai-learners.com/,AI-Learners is an edtech tool that helps students of all abilities learn early math and literacy through personalized games and analytics. It supports teachers by reducing time spent preparing accessible materials and provides comprehensive learning data insights for both parents and educators.,Past,,2021.0,2024.0,5.8,6,7,1,9,6,"Персонализированные игры для обучения, но отсутствуют элементы совместной деятельности.",Игровой учебный контент,Учебные материалы,Протестировать,8,"Стартап предоставляет персонализированные игры для обучения математике и грамоте, что наиболее близко к генерации игрового учебного контента, хотя также включает аналитику."
1349,new-schools,ALL in Education,Teaching Reimagined,https://allineducation.org/,"ALL In Education ensures that communities most impacted by educational inequities lead decisions affecting all students. By engaging families and caregivers, the organization creates high-quality learning environments that drive multigenerational change and long-term opportunity.",Past,,2020.0,2021.0,0.0,0,0,0,0,0,"Продукт не является образовательным инструментом, а представляет собой инициативу по вовлечению сообществ и семей для решения проблем образовательного неравенства, поэтому он не соответствует модели PMO.",unmatched,,,0,"Стартап фокусируется на вовлечении сообществ и семей для борьбы с образовательным неравенством, что не соответствует функционалу ни одного ИИ-агента из каталога."
1350,new-schools,All Means All,Learning Differences,https://www.amaleaders.org/,"All Means All builds partnerships with school and system leaders to increase equitable outcomes and opportunities for students with disabilities and other intersectional identities that have been historically marginalized. Our flagship AMA School Leadership Program is a 15-month cohort-based fellowship for school leaders along with their school and/or network based teams that pairs repeated practicing of key adaptive skills (mindsets, adult culture and problem solving) and the technical levers to address inequity in schools with the deep coaching, feedback and collaboration to sustain it. Leaders in the program will work to shrink key academic and/or social emotional opportunity gaps rooted in systemic racism and ableism for students with disabilities with a particular focus on Black and Latino students from low-income backgrounds.",Past,,2021.0,2022.0,3.0,3,3,7,0,2,"Программа фокусируется на сотрудничестве и коучинге, но практически не предлагает персонализации учебного пути, адаптивных материалов и геймификации, а обратная связь является преимущественно ручной.",unmatched,,,1,"Стартап представляет собой программу коучинга и совместного обучения для школьных лидеров, направленную на устранение системного неравенства, что не соответствует функционалу ни одного ИИ-агента из каталога, ориентированных на автоматизацию учебных и методических задач."
1354,new-schools,Barbershop Books,Learning Solutions,https://barbershopbooks.org,"Reading So Lit, developed by Barbershop Books, uses social-emotional learning and multimedia to help preK-5 learners build vocabulary and express their reading preferences. This AI-powered platform delivers meaningful reading experiences, while strengths-based assessments and actionable data help educators personalize instruction and accelerate learning through student-driven decisions.",Past,,2020.0,2024.0,4.6,7,9,1,1,5,"Продукт обеспечивает адаптивные учебные материалы на базе ИИ и учитывает предпочтения учащихся, но почти не содержит совместной деятельности и игровых механик.",ИИ-агент диагностики,Персонализированная траектория,В разработке,7,"Стартап использует оценку сильных сторон для персонализации обучения, что соответствует функции ИИ-агента диагностики для определения уровня и адаптации программы."
1356,new-schools,BeeReaders,Learning Solutions,https://www.beereaders.com/,"BeeReaders Español offers culturally responsive content, adaptive assessments, and educator/family supports to build Spanish-speaking students’ literacy skills in both Spanish and English. Research has shown that developing these students’ Spanish literacy is beneficial not only to their development of English reading and writing skills, but also to a positive sense of identity and belonging. While the solution was developed for use in Latin American countries, the team is now prioritizing growth in dual language and bilingual programs in the United States.",,,2020.0,2022.0,3.2,4,6,1,0,5,"BeeReaders обеспечивает адаптивное обучение грамотности с персонализированной обратной связью, но не позволяет учащимся выстраивать собственную траекторию, отсутствуют совместная деятельность и геймификация.",ИИ-агент диагностики,Персонализированная траектория,В разработке,8,"Стартап делает адаптивную диагностику уровня грамотности ученика для предоставления персонализированного контента, что совпадает с ИИ-агентом диагностики."
1363,new-schools,BrainScience Works,Learning Solutions,https://brainscience.works/,"BrainScience Works envisions a future where neuroscience, technology, and innovative teaching methods make literacy accessible to all. Their programs build confidence and success for struggling readers, unlocking the potential of every learner through transformative, inclusive education.",,,2023.0,2025.0,4.6,5,7,1,3,7,"Продукт для обучения грамотности на основе нейронаук, вероятно, адаптирует материалы и предоставляет обратную связь, но не раскрывает механизмы персонализации траектории и почти не включает совместную деятельность.",ИИ-агент диагностики,Персонализированная траектория,В разработке,8,"Стартап BrainScience Works нацелен на диагностику и адаптивное обучение чтению с опорой на нейронауки, что близко к агенту диагностики, определяющему текущий уровень ученика и зону ближайшего развития для персонализированной программы."
1369,new-schools,California Indian Museum and Cultural Center,Learning Solutions,https://cimcc.org/education-center/,"The purpose of the California Indian Museum and Cultural Center is to culturally enrich and benefit the people of California and the general public. The goals of CIMCC are to educate the public about California Indian history and cultures, from a native perspective.",,,1996.0,2025.0,1.4,3,1,1,1,1,"Музей предоставляет образовательный контент, но без технологий персонализации, адаптивных материалов, коллаборации, геймификации или автоматической обратной связи, что соответствует традиционному статичному формату.",unmatched,,,0,"Стартап является музеем и культурным центром, предоставляющим образовательные экспозиции и программы, что не соответствует ни одному специализированному ИИ-агенту каталога EdTech-решений."
